tenure,MonthlyCharges,Number_of_InternetServices,Churn
1,29.85,1,0
34,56.95,2,0
2,53.85,2,1
45,42.3,3,0
2,70.7,0,1
8,99.65,3,1
22,89.1,2,0
10,29.75,1,0
28,104.8,4,1
62,56.15,2,0
13,49.95,1,0
16,18.95,0,0
58,100.35,3,0
49,103.7,4,1
25,105.5,5,0
69,113.25,6,0
52,20.65,0,0
71,106.7,4,0
10,55.2,2,1
21,90.05,3,0
1,39.65,2,1
12,19.8,0,0
1,20.15,0,1
58,59.9,2,0
49,59.6,3,0
30,55.3,2,0
47,99.35,3,1
1,30.2,1,1
72,90.25,6,0
17,64.7,2,1
71,96.35,4,0
2,95.5,3,0
27,66.15,4,0
1,20.2,0,0
1,45.25,0,0
72,99.9,4,0
5,69.7,0,1
46,74.8,1,0
34,106.35,4,1
11,97.85,3,1
10,49.55,1,0
70,69.2,3,0
17,20.75,0,0
63,79.85,5,0
13,76.2,4,0
49,84.5,1,0
2,49.25,1,0
2,80.65,1,1
52,79.75,4,0
69,64.15,3,0
43,90.25,2,0
15,99.1,4,1
25,69.5,3,0
8,80.65,1,1
60,74.85,5,0
18,95.45,2,1
63,99.65,3,0
66,108.45,5,0
34,24.95,0,0
72,107.5,4,0
47,100.5,3,0
60,89.9,2,0
72,42.1,3,0
18,54.4,2,0
9,94.4,2,1
3,75.3,4,0
47,78.9,1,0
31,79.2,5,0
50,20.15,0,0
10,79.85,2,0
1,49.05,1,0
52,20.4,0,0
64,111.6,5,0
62,24.25,0,0
3,64.5,3,0
56,110.5,5,0
46,55.65,1,0
8,54.65,2,0
30,74.75,4,0
45,25.9,0,0
1,79.35,1,1
11,50.55,3,0
7,75.15,1,1
42,103.8,5,0
49,20.15,0,0
9,99.3,3,0
35,62.15,2,0
48,20.65,0,0
46,19.95,0,0
29,33.75,1,0
30,82.05,2,0
1,74.7,1,0
66,84.0,5,0
65,111.05,5,0
72,100.9,4,0
12,78.95,1,1
71,66.85,3,0
5,21.05,0,1
52,21.0,0,0
25,98.5,4,1
1,20.2,0,0
1,19.45,0,0
38,95.0,3,0
66,45.55,3,0
68,110.0,5,1
5,24.3,0,0
72,104.15,4,0
32,30.15,1,0
43,94.35,2,0
72,19.4,0,0
55,96.75,3,1
52,57.95,3,0
43,91.65,3,0
37,76.5,0,1
64,54.6,4,0
3,89.85,3,0
36,31.05,1,0
10,100.25,3,1
41,20.65,0,0
27,85.2,2,0
56,99.8,3,0
6,20.7,0,0
3,74.4,0,1
7,50.7,1,0
4,20.85,0,0
33,88.95,3,0
27,78.05,1,1
72,23.55,0,0
1,19.75,0,0
71,56.45,4,0
13,85.95,1,0
25,58.6,5,1
67,50.55,1,0
1,35.45,1,1
2,44.35,0,1
43,25.7,0,0
23,75.0,1,0
64,20.2,0,0
57,19.6,0,0
1,70.45,0,1
72,88.05,6,0
8,71.15,3,1
61,101.05,3,0
64,84.3,2,0
71,23.95,0,0
65,99.05,4,0
3,19.6,0,0
1,45.65,0,1
30,64.5,3,0
15,69.5,4,0
8,68.55,3,0
7,95.0,2,1
70,108.15,5,0
62,86.1,6,0
6,19.7,0,0
14,80.9,1,0
22,84.15,1,0
22,20.15,0,0
16,64.25,3,0
10,25.7,0,0
13,56.0,2,0
20,82.4,1,1
2,69.7,0,0
53,73.9,4,0
11,20.6,0,0
69,19.9,0,0
4,70.9,0,1
72,89.05,6,0
58,45.3,3,1
16,20.4,0,0
43,84.25,3,0
2,104.4,4,1
14,81.95,5,0
53,94.85,3,1
32,20.55,0,0
34,24.7,0,0
15,74.45,0,1
7,76.45,1,1
15,105.35,4,0
61,20.55,0,0
1,29.95,1,1
1,45.3,0,0
8,84.5,1,1
33,74.75,4,0
13,79.25,2,1
1,24.8,0,1
20,51.8,1,0
3,30.4,1,0
13,19.65,0,0
40,56.6,1,0
43,71.9,3,0
6,91.0,3,1
69,19.75,0,0
72,109.7,5,0
59,19.3,0,0
20,96.55,4,0
24,24.1,0,0
59,111.35,5,0
72,112.25,5,0
1,20.75,0,0
27,101.9,4,0
14,80.05,2,0
71,105.55,4,0
13,78.3,1,0
44,68.85,0,0
33,79.95,2,0
72,55.45,5,0
1,79.9,1,1
19,106.6,5,1
64,102.45,5,0
2,46.0,0,1
1,25.25,0,0
61,19.75,0,0
29,20.0,0,0
23,86.8,1,0
57,58.75,5,0
72,45.25,4,0
66,56.6,5,0
65,84.2,5,0
8,80.0,1,0
4,70.15,0,1
71,24.75,0,0
1,20.2,0,0
4,50.05,1,1
12,19.35,0,0
24,50.6,3,0
31,81.15,5,0
1,55.2,1,1
30,89.9,2,0
47,85.3,5,0
54,108.0,5,0
50,93.5,4,0
1,84.6,2,1
72,20.25,0,0
29,25.15,0,0
2,54.4,1,1
10,29.6,1,0
18,73.15,0,0
11,95.0,3,1
16,19.75,0,0
72,86.6,5,0
72,109.2,5,0
41,74.7,4,0
65,94.4,4,0
13,54.8,2,0
4,75.35,1,0
41,65.0,2,0
15,74.4,1,1
1,48.55,1,1
42,99.0,4,0
51,93.5,4,0
2,70.4,0,1
1,40.2,2,1
32,83.7,5,0
10,19.85,0,0
67,59.55,5,0
61,115.1,6,0
50,114.35,6,0
2,44.6,0,1
29,45.0,3,0
3,41.15,2,1
13,106.9,4,1
57,89.85,2,0
31,49.85,4,0
45,113.3,6,0
61,88.1,6,0
50,24.9,0,0
19,105.0,5,0
59,19.35,0,1
71,24.25,0,0
16,94.45,3,1
57,59.75,3,0
1,24.8,0,1
20,107.05,4,0
1,70.6,0,1
5,85.4,2,1
52,105.05,4,1
21,64.95,3,0
14,55.0,4,0
5,50.55,1,0
6,55.15,2,0
10,51.2,1,0
1,25.4,0,0
68,54.45,1,0
18,95.15,3,1
22,76.0,0,0
20,44.35,0,0
1,70.0,0,1
8,74.5,1,1
10,44.85,0,1
24,76.1,0,1
35,61.2,3,0
23,86.8,3,0
6,89.35,2,0
12,19.7,0,0
1,20.25,0,0
71,76.05,1,0
35,100.8,3,0
40,74.55,3,0
1,73.6,1,1
23,64.9,2,0
4,95.45,2,1
4,90.4,3,0
68,60.3,5,0
38,81.85,1,0
52,24.8,0,0
32,74.9,0,1
29,75.55,4,0
38,101.15,3,0
48,78.75,4,0
1,19.25,0,0
22,89.05,3,0
43,115.05,6,0
5,69.35,0,0
5,80.6,1,1
51,110.05,5,0
71,19.9,0,0
38,80.3,5,1
24,93.15,3,1
35,91.5,2,0
54,82.45,5,1
72,60.0,5,0
1,44.8,0,0
9,48.6,1,0
69,60.05,5,0
52,102.7,4,0
11,82.9,2,0
2,70.35,0,1
28,35.9,1,0
17,82.65,1,0
35,19.85,0,0
8,19.2,0,0
46,94.9,3,0
7,73.85,0,1
2,80.6,1,1
68,75.8,4,1
43,104.6,4,1
68,88.15,6,0
36,94.8,3,0
63,103.4,4,1
32,54.65,2,0
71,85.75,6,0
66,67.45,3,0
63,20.5,0,0
41,20.25,0,0
1,72.1,0,0
2,90.4,2,1
70,19.45,0,0
23,44.95,2,0
64,97.0,4,0
37,62.8,3,0
17,44.6,0,0
7,89.15,2,0
4,84.8,2,1
21,41.9,2,1
10,80.25,1,1
16,54.1,1,0
64,105.25,4,0
27,30.75,1,1
42,97.1,3,0
5,20.2,0,0
41,98.8,4,0
58,50.3,1,0
47,20.55,0,0
18,75.9,1,0
5,96.5,3,1
23,59.95,2,0
1,19.15,0,0
71,98.65,3,0
72,112.6,6,0
33,20.6,0,0
2,85.65,1,1
24,35.75,2,0
56,99.75,4,0
37,96.1,3,0
43,85.1,5,0
1,25.35,0,0
25,104.95,4,1
61,89.65,6,0
17,86.75,2,0
41,86.2,3,0
1,50.65,1,1
72,64.8,6,0
1,90.85,2,1
48,108.1,4,0
11,19.95,0,1
55,85.45,2,1
42,54.75,5,0
44,90.4,2,0
1,44.0,0,0
27,95.6,2,0
27,84.8,5,0
2,44.3,0,0
19,19.9,0,0
42,95.05,2,0
66,90.05,6,0
33,109.9,5,0
34,73.95,1,1
33,54.6,4,0
23,20.05,0,0
32,19.75,0,0
11,20.05,0,0
69,99.45,3,1
68,55.9,2,0
20,19.7,0,0
72,19.8,0,0
60,95.4,3,0
32,93.95,3,0
1,19.9,0,1
1,19.6,0,1
3,81.35,1,1
46,24.45,0,0
29,74.95,0,0
51,87.35,3,0
48,70.65,0,0
16,73.25,1,0
70,98.7,4,0
40,24.8,0,0
22,83.3,2,1
1,75.3,1,1
5,24.3,0,0
7,69.85,0,0
29,100.55,4,0
44,25.7,0,0
10,40.7,3,0
55,51.65,0,0
52,105.1,4,0
10,85.95,1,0
18,75.6,0,0
68,58.25,2,0
61,19.4,0,1
72,65.2,6,0
2,53.45,2,0
12,45.4,0,1
41,19.75,0,0
26,44.45,3,0
36,20.85,0,0
72,114.05,6,0
35,89.85,2,0
1,55.05,2,0
16,112.95,5,0
49,101.55,3,0
54,114.65,6,0
18,64.8,2,0
36,80.4,1,0
60,105.9,4,1
1,69.55,0,1
52,25.05,0,0
8,94.75,3,0
72,105.5,5,0
64,24.7,0,0
22,69.75,4,0
60,60.2,5,0
28,81.05,1,1
61,24.4,0,0
24,104.15,4,0
28,92.9,4,0
30,80.8,5,0
2,20.0,0,0
1,75.1,0,0
6,19.65,0,0
24,69.45,3,0
4,101.15,3,1
7,99.8,3,1
72,116.05,6,0
70,40.05,2,0
64,102.1,4,0
72,89.7,2,0
44,19.9,0,0
13,55.95,1,1
17,20.65,0,0
1,55.0,1,1
9,70.05,3,0
24,53.6,2,0
1,74.7,1,1
24,80.25,1,1
35,76.05,4,0
7,75.7,5,0
5,96.1,3,1
15,69.0,0,1
11,19.65,0,0
48,45.3,3,1
20,81.45,1,0
72,108.5,5,0
8,83.55,2,1
72,84.5,1,0
15,100.15,3,0
72,88.6,5,0
0,52.55,4,0
1,74.35,0,1
63,104.8,4,0
2,59.0,2,0
2,74.4,1,1
61,64.05,2,0
1,20.4,0,0
22,43.75,3,1
28,60.9,3,0
70,19.8,0,0
5,28.45,1,1
12,99.7,4,1
34,116.25,6,0
71,80.7,1,0
70,65.2,2,0
52,84.05,3,0
69,79.45,5,0
20,94.1,3,1
11,78.0,1,0
2,94.2,3,1
6,80.5,1,1
1,19.85,0,0
20,94.3,4,0
61,106.45,4,0
5,74.35,0,1
56,105.45,4,0
30,95.0,4,0
40,104.8,4,1
28,54.3,2,0
5,70.05,0,0
27,75.2,1,1
12,20.05,0,0
67,105.4,4,0
29,51.6,0,0
55,85.5,1,0
23,75.6,0,1
34,100.05,3,1
52,91.25,3,0
72,115.75,6,0
58,94.7,3,0
35,19.6,0,0
56,99.9,4,0
24,21.1,0,0
70,20.05,0,0
2,79.95,1,0
68,107.15,4,0
1,85.0,1,1
12,89.55,2,0
63,81.55,1,0
33,58.45,3,0
69,95.65,3,0
60,80.6,5,0
72,113.1,6,0
11,58.95,1,0
1,19.55,0,0
10,86.05,1,1
13,45.55,3,1
34,78.95,1,0
39,86.3,2,1
65,105.05,4,0
50,101.9,4,0
15,19.75,0,0
72,110.3,5,0
72,115.6,6,0
55,19.35,0,0
23,25.6,0,0
32,80.35,1,1
56,68.75,3,0
1,19.9,0,0
38,70.6,4,0
11,70.2,0,0
1,49.3,1,0
56,107.25,4,0
3,23.6,0,0
7,69.7,3,0
59,99.5,3,0
7,64.3,3,0
71,70.85,4,0
15,101.9,4,0
71,73.5,4,0
35,100.25,3,1
11,40.4,3,0
60,19.25,0,0
47,59.6,2,0
11,64.9,3,0
56,100.3,3,1
28,110.85,5,0
61,81.05,5,0
31,98.05,3,0
9,70.5,0,0
35,94.55,3,0
2,19.65,0,0
12,19.0,0,1
1,75.3,1,1
4,89.2,2,1
1,19.0,0,0
3,20.0,0,0
1,85.7,1,1
52,63.25,3,0
5,20.1,0,0
72,99.15,4,0
71,90.4,6,0
72,111.9,5,0
46,24.9,0,0
63,83.5,5,0
30,84.3,3,0
1,45.6,0,0
12,61.65,3,1
16,54.85,5,0
4,65.55,2,0
51,90.35,2,0
65,20.4,0,0
16,74.55,1,0
2,19.95,0,0
66,74.25,0,0
46,108.65,5,0
32,109.55,5,0
72,86.65,5,0
38,81.0,5,0
51,47.85,1,0
72,114.55,6,0
65,105.25,4,1
9,29.95,1,1
9,65.0,4,1
66,20.55,0,0
44,109.8,5,0
50,69.5,3,0
15,48.85,0,0
8,25.25,0,0
66,102.85,4,0
57,87.55,3,0
7,78.55,1,0
10,34.55,1,0
62,92.05,3,0
40,85.05,2,0
20,19.7,0,0
7,20.0,0,1
25,95.15,3,0
23,84.25,2,0
66,104.6,4,0
72,111.65,5,0
49,90.05,2,1
43,110.75,5,1
46,55.0,1,0
72,89.85,6,0
10,20.35,0,0
40,54.55,4,0
65,105.5,4,1
31,99.45,4,0
68,70.9,4,0
56,104.55,4,1
10,85.25,1,1
68,25.4,0,0
43,56.15,1,1
1,89.55,2,1
49,89.85,3,0
15,25.25,0,0
20,94.55,2,1
1,45.7,0,1
50,69.65,3,0
2,89.5,2,1
24,70.0,0,0
3,69.55,0,1
1,74.6,1,1
35,20.1,0,0
17,24.8,0,0
8,19.65,0,1
10,95.1,3,0
68,88.85,6,0
45,78.8,5,0
2,19.85,0,1
37,20.35,0,0
4,24.25,0,1
10,45.25,0,0
1,20.05,0,0
65,69.55,3,0
57,19.5,0,0
3,74.75,1,0
2,69.65,0,1
49,30.2,1,0
4,45.65,0,1
70,57.8,5,0
53,19.85,0,0
53,25.55,0,0
1,75.05,0,1
22,24.85,0,0
52,49.15,3,1
65,110.35,5,0
48,24.55,0,0
2,34.7,1,1
3,107.95,4,0
45,81.4,1,0
1,80.0,1,1
61,73.8,4,0
3,64.4,3,0
40,103.75,4,0
1,71.1,0,0
1,49.9,1,0
51,24.6,0,0
2,49.25,1,1
52,30.1,1,0
51,83.4,1,0
1,20.45,0,0
31,75.25,4,0
47,20.55,0,0
3,75.1,0,1
22,20.05,0,0
1,20.65,0,0
72,85.15,5,0
3,50.15,1,1
47,84.95,2,0
72,66.5,3,0
66,63.3,2,0
35,83.15,1,0
29,84.9,1,0
2,20.55,0,0
4,49.25,1,0
25,79.85,2,1
65,59.6,3,0
27,104.65,4,0
29,75.3,1,0
29,80.1,4,0
1,19.55,0,1
20,81.0,2,0
58,24.7,0,0
14,86.0,2,0
72,25.4,0,0
46,89.15,2,0
71,58.25,5,0
32,85.65,1,0
26,50.35,3,0
68,80.35,1,0
2,20.2,0,0
61,20.55,0,0
4,85.95,1,1
3,45.35,0,1
33,94.5,2,1
9,21.25,0,0
22,26.25,0,0
5,80.85,1,0
30,91.7,3,1
65,74.2,4,0
45,87.25,2,1
5,20.35,0,0
25,75.5,1,0
72,79.05,1,0
27,90.15,2,0
32,50.6,3,0
30,110.45,5,0
70,101.0,5,0
42,79.35,1,0
72,89.85,6,0
47,65.0,3,0
2,80.45,2,0
10,98.55,3,1
61,24.1,0,0
5,44.05,0,0
72,110.8,5,0
72,114.95,6,0
3,75.05,1,0
48,19.25,0,0
63,90.05,3,0
27,56.7,2,0
70,80.15,5,0
7,71.35,4,0
0,20.25,0,0
2,90.35,3,0
20,98.55,3,1
66,19.7,0,0
3,19.85,0,0
15,85.9,2,1
72,90.35,3,0
1,20.8,0,0
22,89.25,2,1
3,70.3,0,1
72,66.85,3,0
65,19.9,0,0
11,35.8,1,0
22,78.85,1,0
14,20.4,0,0
41,74.25,1,0
17,64.8,3,0
11,20.45,0,0
15,93.35,2,1
1,19.9,0,1
5,88.9,3,1
33,95.8,3,1
72,110.65,5,0
3,40.3,2,0
2,82.0,1,1
59,107.0,5,0
2,45.35,0,1
71,73.35,4,0
5,44.8,0,0
27,54.75,2,0
1,52.2,1,1
63,40.6,3,0
46,110.0,5,1
72,55.3,1,0
34,60.85,2,0
24,78.4,4,0
72,69.65,4,0
60,59.85,5,0
68,76.9,4,0
8,19.85,0,0
34,67.65,4,0
6,45.0,2,0
2,64.2,3,0
31,81.7,1,0
20,25.55,0,0
1,20.0,0,0
62,96.75,3,1
70,75.65,0,0
10,98.5,3,1
39,23.8,0,0
46,64.2,3,0
6,85.35,2,1
72,76.8,3,0
18,55.2,2,0
71,108.55,5,0
40,101.3,3,1
1,69.55,0,1
58,103.25,4,1
70,104.0,4,1
42,25.25,0,0
34,30.4,1,0
5,20.05,0,0
25,84.6,1,0
2,86.2,2,1
55,103.7,5,0
21,111.2,5,1
70,88.0,3,0
61,106.35,4,0
43,79.15,5,0
47,103.1,4,0
5,63.95,3,0
62,25.8,0,0
16,89.45,3,1
7,95.6,2,1
14,25.55,0,0
60,90.95,3,1
34,44.85,3,0
50,108.55,5,1
38,25.05,0,0
70,74.1,5,0
37,88.8,2,0
4,78.85,1,1
60,93.25,3,0
62,71.4,4,0
1,44.4,0,1
36,79.2,5,0
44,20.4,0,0
55,100.0,3,1
72,105.0,4,0
12,19.8,0,1
13,30.85,1,0
1,89.9,2,1
15,20.55,0,0
65,84.85,6,0
12,33.15,2,0
72,92.0,6,0
72,89.8,6,0
72,115.8,6,0
52,85.15,5,0
2,24.85,0,0
5,64.35,3,0
68,20.5,0,0
62,100.15,3,1
72,86.05,5,0
1,50.8,1,1
66,89.0,3,0
72,64.8,6,0
26,19.8,0,0
64,93.4,3,0
20,73.65,1,1
3,95.1,3,1
22,94.65,2,1
4,80.6,2,1
62,39.0,2,0
5,20.5,0,0
59,85.55,1,1
3,26.4,0,0
72,98.2,4,0
57,97.55,4,0
66,19.95,0,0
60,50.8,3,1
45,99.7,3,0
3,34.8,1,0
15,105.1,5,1
51,60.15,5,0
60,64.75,3,0
33,54.65,1,0
10,110.1,6,1
26,19.3,0,0
6,83.9,2,1
67,111.25,5,0
49,35.8,2,0
1,20.05,0,0
7,84.35,2,0
27,110.5,5,0
37,91.2,2,0
63,100.55,4,1
31,89.3,3,0
50,103.85,4,1
32,81.1,1,0
1,24.6,0,1
63,81.2,1,0
30,94.3,3,0
71,116.1,6,0
53,105.55,4,0
12,98.9,4,1
50,94.4,3,0
2,19.5,0,0
9,98.3,3,1
17,93.85,3,1
56,105.6,5,0
67,81.35,5,0
9,100.5,3,1
4,56.4,1,0
19,65.35,3,0
8,19.95,0,0
71,111.25,5,0
10,72.85,1,1
15,89.0,2,0
72,106.1,4,0
12,20.05,0,0
72,25.2,0,0
1,73.55,0,1
23,75.4,1,0
72,65.55,6,0
26,80.7,1,0
21,104.55,5,0
60,24.15,0,0
12,20.45,0,0
16,75.4,0,0
63,79.7,4,0
22,81.7,2,0
32,76.3,5,0
3,79.4,1,1
13,81.15,2,1
68,103.75,4,0
30,86.45,2,0
16,75.1,1,0
33,80.6,2,0
72,19.3,0,0
4,84.6,1,1
12,33.6,2,0
4,83.25,1,0
0,80.85,5,0
6,79.05,1,1
65,108.05,5,0
15,19.9,0,0
24,21.05,0,0
13,30.15,1,0
24,79.85,1,0
72,65.5,6,0
54,104.1,4,0
3,74.4,0,1
4,20.5,0,0
32,91.35,2,0
35,99.05,3,1
35,20.5,0,0
2,44.95,0,1
8,75.6,1,0
22,55.1,2,0
15,58.95,3,0
22,95.1,2,0
1,44.7,0,1
71,25.45,0,0
4,56.75,2,0
25,81.75,5,0
32,86.1,2,0
7,29.8,1,0
17,20.5,0,0
8,60.9,2,0
56,73.25,4,0
1,45.7,0,1
8,100.3,4,1
7,19.25,0,1
3,20.85,0,0
71,77.35,5,0
2,96.0,2,1
1,90.55,2,1
49,93.85,3,0
58,70.1,4,0
44,30.35,1,1
59,75.95,4,0
71,108.05,5,1
1,69.9,0,1
11,75.25,0,0
62,103.75,4,1
35,54.95,2,0
20,19.5,0,0
40,19.6,0,0
39,47.85,1,0
1,86.6,1,1
72,23.75,0,0
33,80.6,1,1
12,43.8,0,0
1,19.75,0,0
27,19.15,0,0
34,19.6,0,0
56,80.3,2,0
58,24.35,0,0
22,25.25,0,0
10,26.1,0,0
13,20.0,0,0
35,85.3,2,1
34,70.0,0,1
4,94.3,2,1
72,20.7,0,0
2,70.3,3,0
7,95.35,3,1
27,75.5,0,1
4,69.55,0,0
37,19.85,0,0
21,20.0,0,0
53,95.85,2,0
18,90.1,2,1
2,68.95,0,1
32,99.55,3,1
23,20.75,0,0
3,50.15,1,0
71,58.65,5,0
9,95.9,3,0
1,49.5,1,0
18,57.45,2,1
12,53.65,1,1
71,80.1,5,0
64,24.4,0,0
4,40.05,2,0
23,19.5,0,0
39,51.05,1,0
28,54.35,2,0
5,84.7,2,0
45,86.1,2,0
37,70.35,0,0
60,110.0,6,0
8,100.6,3,1
47,94.9,3,0
26,83.75,1,1
3,88.3,3,1
50,69.75,0,0
27,71.6,3,0
8,92.1,3,1
62,23.65,0,0
71,81.85,5,0
66,25.1,0,0
68,114.7,6,0
13,49.15,3,0
56,80.9,1,0
38,79.45,2,1
14,90.45,2,1
16,19.3,0,0
14,70.2,0,0
32,69.75,0,1
8,54.25,2,0
43,99.3,3,0
52,74.0,4,0
3,50.25,1,0
29,19.8,0,0
1,19.65,0,1
12,43.65,3,1
16,35.5,1,0
40,80.75,4,0
5,39.5,2,1
40,97.1,2,1
36,19.55,0,0
5,80.0,1,1
10,84.7,2,1
2,89.55,2,1
23,90.6,2,1
26,20.05,0,0
72,112.4,5,0
34,50.2,1,0
10,62.25,3,0
14,55.7,2,0
23,90.05,2,1
47,19.65,0,0
24,89.25,3,0
49,99.05,3,1
20,54.0,2,0
2,69.75,0,1
2,49.05,1,1
22,56.75,4,0
7,98.05,3,1
1,21.1,0,0
59,96.65,3,0
58,24.5,0,0
41,114.5,6,1
59,79.2,1,0
3,69.55,0,0
32,20.05,0,0
46,98.85,3,0
0,25.75,0,0
2,80.95,1,1
52,19.6,0,0
13,74.3,1,1
11,89.7,2,1
32,87.65,2,0
17,100.45,3,1
16,74.75,0,0
51,107.45,5,0
29,75.35,4,0
70,64.95,4,0
71,100.45,4,0
41,68.5,3,0
1,80.55,1,0
7,81.25,5,0
25,90.4,2,1
67,89.55,3,0
5,55.7,1,0
15,24.8,0,0
20,20.0,0,0
3,56.15,2,1
54,105.2,4,0
42,19.55,0,0
9,79.75,1,0
63,97.45,3,0
69,24.25,0,0
69,24.6,0,0
40,50.15,1,0
60,39.6,3,0
4,94.4,4,1
71,89.85,6,0
37,78.95,1,1
32,98.85,3,0
39,53.85,1,0
38,24.25,0,0
52,89.45,2,0
48,105.25,4,0
70,59.5,5,0
20,70.55,0,0
50,82.5,5,0
19,44.85,2,1
25,61.6,3,0
12,49.05,1,0
39,105.65,4,1
7,74.65,1,1
23,66.25,4,0
27,19.4,0,0
47,86.05,1,0
26,19.15,0,0
14,64.7,2,1
11,104.05,4,1
2,19.25,0,0
26,81.95,2,0
72,114.65,6,0
63,20.0,0,0
71,19.8,0,0
11,65.15,2,0
14,19.65,0,0
13,88.95,6,0
6,20.2,0,0
11,75.2,0,0
18,56.8,1,0
1,35.55,1,1
32,75.5,1,0
29,35.6,2,0
3,60.25,1,0
2,95.15,2,1
13,96.65,3,1
41,40.35,2,0
1,18.85,0,0
7,54.85,1,0
52,64.3,3,0
45,24.65,0,0
70,76.1,4,0
53,18.7,0,0
62,97.95,3,0
60,94.1,3,0
3,80.4,1,1
23,95.1,3,0
1,31.35,1,1
67,72.35,4,0
12,89.75,2,1
71,82.7,5,0
25,19.9,0,0
5,53.8,1,0
26,51.55,0,0
1,19.65,0,0
